Release Year,Genres,Count
1980.0,Arcade,1
1982.0,Arcade,1
1985.0,Adventure,1
1985.0,Platform,1
1986.0,Adventure,3
1986.0,Arcade,1
1986.0,Platform,2
1986.0,Puzzle,1
1986.0,Strategy,1
1987.0,Adventure,3
1987.0,Platform,1
1987.0,RPG,1
1987.0,Shooter,1
1988.0,Adventure,1
1988.0,Brawler,1
1988.0,Platform,5
1989.0,Adventure,2
1989.0,Arcade,2
1989.0,Platform,2
1989.0,Puzzle,3
1990.0,Adventure,5
1990.0,Platform,3
1990.0,Point-and-Click,1
1990.0,Puzzle,2
1991.0,Adventure,5
1991.0,Arcade,2
1991.0,Brawler,1
1991.0,Fighting,1
1991.0,Platform,6
1991.0,Puzzle,3
1991.0,RPG,3
1991.0,Shooter,1
1992.0,Adventure,4
1992.0,Arcade,1
1992.0,Platform,3
1992.0,Point-and-Click,1
1992.0,RPG,2
1992.0,Shooter,1
1992.0,Visual Novel,1
1993.0,Adventure,3
1993.0,Arcade,1
1993.0,Fighting,1
1993.0,Platform,6
1993.0,RPG,1
1993.0,Shooter,5
1993.0,Sport,1
1994.0,Adventure,7
1994.0,Platform,7
1994.0,RPG,4
1994.0,Shooter,2
1994.0,Turn Based Strategy,1
1995.0,Adventure,6
1995.0,Fighting,2
1995.0,Platform,6
1995.0,RPG,3
1995.0,Racing,1
1995.0,Shooter,3
1996.0,Adventure,9
1996.0,Arcade,1
1996.0,Platform,9
1996.0,Puzzle,2
1996.0,RPG,6
1996.0,Racing,1
1996.0,Shooter,2
1996.0,Strategy,1
1996.0,Turn Based Strategy,3
1997.0,Adventure,9
1997.0,Arcade,1
1997.0,Fighting,2
1997.0,Platform,4
1997.0,Puzzle,1
1997.0,RPG,8
1997.0,Racing,1
1997.0,Shooter,5
1997.0,Simulator,1
1997.0,Strategy,1
1997.0,Tactical,1
1997.0,Turn Based Strategy,4
1998.0,Adventure,10
1998.0,Arcade,1
1998.0,Fighting,2
1998.0,Platform,2
1998.0,Puzzle,1
1998.0,RPG,5
1998.0,Racing,2
1998.0,Shooter,3
1998.0,Strategy,1
1998.0,Tactical,1
1998.0,Turn Based Strategy,1
1999.0,Adventure,9
1999.0,Arcade,2
1999.0,Brawler,1
1999.0,Card & Board Game,2
1999.0,Fighting,4
1999.0,Platform,5
1999.0,Puzzle,3
1999.0,RPG,9
1999.0,Racing,2
1999.0,Shooter,4
1999.0,Simulator,1
1999.0,Strategy,4
1999.0,Tactical,2
1999.0,Turn Based Strategy,2
2000.0,,1
2000.0,Adventure,9
2000.0,Card & Board Game,1
2000.0,Platform,4
2000.0,Puzzle,2
2000.0,RPG,7
2000.0,Shooter,4
2000.0,Turn Based Strategy,1
2001.0,Adventure,18
2001.0,Arcade,2
2001.0,Brawler,1
2001.0,Fighting,1
2001.0,Indie,1
2001.0,Platform,8
2001.0,Puzzle,8
2001.0,RPG,4
2001.0,Racing,3
2001.0,Shooter,5
2001.0,Simulator,4
2001.0,Sport,1
2001.0,Strategy,1
2001.0,Tactical,1
2001.0,Turn Based Strategy,1
2002.0,Adventure,17
2002.0,Arcade,1
2002.0,Brawler,1
2002.0,Card & Board Game,1
2002.0,Indie,1
2002.0,Music,1
2002.0,Platform,6
2002.0,Puzzle,2
2002.0,RPG,8
2002.0,Racing,2
2002.0,Shooter,5
2002.0,Sport,1
2002.0,Strategy,1
2002.0,Turn Based Strategy,1
2002.0,Visual Novel,2
2003.0,Adventure,14
2003.0,Arcade,2
2003.0,Brawler,1
2003.0,Indie,1
2003.0,Pinball,1
2003.0,Platform,6
2003.0,Puzzle,1
2003.0,RPG,7
2003.0,Racing,2
2003.0,Real Time Strategy,1
2003.0,Shooter,5
2003.0,Strategy,3
2003.0,Tactical,2
2003.0,Visual Novel,1
2004.0,Adventure,27
2004.0,Fighting,1
2004.0,Indie,5
2004.0,Platform,8
2004.0,Puzzle,3
2004.0,RPG,12
2004.0,Racing,1
2004.0,Real Time Strategy,1
2004.0,Shooter,10
2004.0,Simulator,2
2004.0,Sport,1
2004.0,Strategy,1
2004.0,Tactical,5
2004.0,Turn Based Strategy,7
2004.0,Visual Novel,1
2005.0,Adventure,27
2005.0,Brawler,7
2005.0,Fighting,3
2005.0,Platform,10
2005.0,Point-and-Click,3
2005.0,Puzzle,7
2005.0,RPG,5
2005.0,Racing,1
2005.0,Shooter,12
2005.0,Strategy,2
2005.0,Tactical,2
2005.0,Turn Based Strategy,2
2005.0,Visual Novel,3
2006.0,Adventure,19
2006.0,Brawler,2
2006.0,Fighting,1
2006.0,Platform,5
2006.0,Puzzle,3
2006.0,RPG,9
2006.0,Racing,1
2006.0,Shooter,9
2006.0,Simulator,5
2006.0,Sport,5
2006.0,Turn Based Strategy,2
2006.0,Visual Novel,2
2007.0,,1
2007.0,Adventure,24
2007.0,Arcade,1
2007.0,Brawler,6
2007.0,Fighting,3
2007.0,Indie,2
2007.0,Music,3
2007.0,Platform,22
2007.0,Point-and-Click,2
2007.0,Puzzle,7
2007.0,RPG,11
2007.0,Shooter,19
2007.0,Simulator,2
2007.0,Sport,1
2007.0,Strategy,1
2007.0,Tactical,1
2007.0,Turn Based Strategy,1
2007.0,Visual Novel,3
2008.0,Adventure,23
2008.0,Brawler,7
2008.0,Fighting,3
2008.0,Indie,3
2008.0,Music,2
2008.0,Platform,11
2008.0,Point-and-Click,1
2008.0,Puzzle,5
2008.0,RPG,12
2008.0,Racing,5
2008.0,Real Time Strategy,1
2008.0,Shooter,9
2008.0,Simulator,4
2008.0,Sport,1
2008.0,Strategy,3
2008.0,Tactical,2
2008.0,Turn Based Strategy,2
2008.0,Visual Novel,4
2009.0,Adventure,20
2009.0,Brawler,6
2009.0,Card & Board Game,1
2009.0,Indie,2
2009.0,MOBA,2
2009.0,Music,1
2009.0,Platform,7
2009.0,Point-and-Click,2
2009.0,Puzzle,4
2009.0,RPG,13
2009.0,Real Time Strategy,1
2009.0,Shooter,11
2009.0,Simulator,3
2009.0,Strategy,6
2009.0,Tactical,2
2009.0,Turn Based Strategy,2
2009.0,Visual Novel,9
2010.0,Adventure,41
2010.0,Arcade,3
2010.0,Brawler,5
2010.0,Fighting,1
2010.0,Indie,6
2010.0,Music,1
2010.0,Platform,12
2010.0,Point-and-Click,2
2010.0,Puzzle,6
2010.0,RPG,23
2010.0,Racing,3
2010.0,Shooter,22
2010.0,Simulator,5
2010.0,Sport,2
2010.0,Strategy,7
2010.0,Turn Based Strategy,6
2010.0,Visual Novel,2
2011.0,Adventure,40
2011.0,Brawler,6
2011.0,Fighting,3
2011.0,Indie,3
2011.0,Platform,11
2011.0,Point-and-Click,3
2011.0,Puzzle,8
2011.0,RPG,18
2011.0,Racing,2
2011.0,Shooter,14
2011.0,Simulator,4
2011.0,Strategy,5
2011.0,Tactical,3
2011.0,Turn Based Strategy,2
2011.0,Visual Novel,1
2012.0,Adventure,33
2012.0,Arcade,3
2012.0,Brawler,9
2012.0,Fighting,4
2012.0,Indie,11
2012.0,Music,1
2012.0,Platform,12
2012.0,Point-and-Click,2
2012.0,Puzzle,3
2012.0,RPG,20
2012.0,Real Time Strategy,1
2012.0,Shooter,15
2012.0,Simulator,8
2012.0,Sport,2
2012.0,Strategy,6
2012.0,Turn Based Strategy,3
2012.0,Visual Novel,7
2013.0,Adventure,59
2013.0,Arcade,1
2013.0,Brawler,12
2013.0,Fighting,2
2013.0,Indie,11
2013.0,Music,1
2013.0,Platform,13
2013.0,Point-and-Click,3
2013.0,Puzzle,12
2013.0,RPG,13
2013.0,Real Time Strategy,4
2013.0,Shooter,18
2013.0,Simulator,6
2013.0,Sport,1
2013.0,Strategy,10
2013.0,Tactical,1
2013.0,Turn Based Strategy,1
2013.0,Visual Novel,1
2014.0,Adventure,41
2014.0,Arcade,7
2014.0,Brawler,4
2014.0,Card & Board Game,1
2014.0,Fighting,5
2014.0,Indie,16
2014.0,Platform,11
2014.0,Point-and-Click,4
2014.0,Puzzle,7
2014.0,Quiz/Trivia,1
2014.0,RPG,18
2014.0,Racing,2
2014.0,Shooter,21
2014.0,Simulator,9
2014.0,Strategy,10
2014.0,Tactical,2
2014.0,Turn Based Strategy,3
2014.0,Visual Novel,2
2015.0,Adventure,48
2015.0,Arcade,3
2015.0,Brawler,8
2015.0,Card & Board Game,2
2015.0,Fighting,5
2015.0,Indie,19
2015.0,Platform,6
2015.0,Point-and-Click,3
2015.0,Puzzle,6
2015.0,RPG,36
2015.0,Racing,3
2015.0,Shooter,12
2015.0,Simulator,10
2015.0,Sport,3
2015.0,Strategy,11
2015.0,Tactical,3
2015.0,Turn Based Strategy,7
2015.0,Visual Novel,2
2016.0,Adventure,52
2016.0,Arcade,6
2016.0,Brawler,3
2016.0,Fighting,4
2016.0,Indie,20
2016.0,Music,1
2016.0,Platform,6
2016.0,Point-and-Click,3
2016.0,Puzzle,10
2016.0,Quiz/Trivia,1
2016.0,RPG,34
2016.0,Shooter,21
2016.0,Simulator,13
2016.0,Strategy,16
2016.0,Tactical,3
2016.0,Turn Based Strategy,7
2016.0,Visual Novel,8
2017.0,Adventure,54
2017.0,Arcade,4
2017.0,Brawler,5
2017.0,Fighting,3
2017.0,Indie,23
2017.0,Music,1
2017.0,Platform,24
2017.0,Point-and-Click,2
2017.0,Puzzle,6
2017.0,RPG,23
2017.0,Racing,1
2017.0,Shooter,19
2017.0,Simulator,1
2017.0,Strategy,6
2017.0,Tactical,1
2017.0,Visual Novel,5
2018.0,Adventure,57
2018.0,Arcade,4
2018.0,Brawler,8
2018.0,Card & Board Game,2
2018.0,Fighting,5
2018.0,Indie,35
2018.0,Music,1
2018.0,Platform,19
2018.0,Puzzle,14
2018.0,RPG,27
2018.0,Real Time Strategy,1
2018.0,Shooter,9
2018.0,Simulator,11
2018.0,Strategy,8
2018.0,Tactical,3
2018.0,Turn Based Strategy,4
2018.0,Visual Novel,2
2019.0,Adventure,73
2019.0,Arcade,8
2019.0,Brawler,16
2019.0,Fighting,3
2019.0,Indie,26
2019.0,Music,2
2019.0,Platform,12
2019.0,Point-and-Click,1
2019.0,Puzzle,11
2019.0,RPG,32
2019.0,Racing,3
2019.0,Shooter,15
2019.0,Simulator,7
2019.0,Sport,1
2019.0,Strategy,9
2019.0,Tactical,2
2019.0,Turn Based Strategy,9
2020.0,Adventure,56
2020.0,Arcade,1
2020.0,Brawler,10
2020.0,Fighting,2
2020.0,Indie,19
2020.0,Music,2
2020.0,Platform,12
2020.0,Point-and-Click,2
2020.0,Puzzle,4
2020.0,RPG,33
2020.0,Shooter,19
2020.0,Simulator,5
2020.0,Sport,2
2020.0,Strategy,3
2020.0,Tactical,3
2020.0,Turn Based Strategy,7
2020.0,Visual Novel,2
2021.0,Adventure,68
2021.0,Arcade,5
2021.0,Brawler,11
2021.0,Card & Board Game,4
2021.0,Fighting,7
2021.0,Indie,30
2021.0,MOBA,1
2021.0,Music,2
2021.0,Platform,14
2021.0,Point-and-Click,5
2021.0,Puzzle,16
2021.0,Quiz/Trivia,2
2021.0,RPG,40
2021.0,Racing,3
2021.0,Shooter,19
2021.0,Simulator,7
2021.0,Strategy,8
2021.0,Tactical,2
2021.0,Turn Based Strategy,8
