name,street_address,restaurant_type,food_review,price_range,latitude,longitude,postal_code,boro,
Smoke Jazz and Supper Club,"2751 Broadway New York, NY  10025",Contemporary American,3.9,$31 to $50,40.8011258,-73.9681923,10025,Manhattan,
Tavern on the Green,"1 Tavern on the Green New York, NY  10023",American,4.4,$31 to $50,40.7721869,-73.9777215,10023,Manhattan,
ABC Kitchen,"35 East 18th Street New York, NY  10003",Contemporary American,4.6,$31 to $50,40.7378971,-73.9894995,10003,Manhattan,
Catch New York,"21 Ninth Avenue New York, NY  10014",Seafood,4.6,$31 to $50,40.7402272,-74.0063403,10014,Manhattan,
Becco,"355 West 46th Street New York, NY  10010",Italian,4.4,$30 and under,40.760804,-73.9898324,10010,Manhattan,
Estiatorio Milos - NY,"125 West 55th Street New York, NY  10019",Seafood,4.8,$50 and over,40.763598,-73.9789514,10019,Manhattan,
Tao Uptown,"42 East 58th Street New York, NY  10022",Asian,4.5,$31 to $50,40.7626068,-73.9714784,10022,Manhattan,
Red Rooster Harlem,"310 Lenox Avenue New York, NY  10027",Southern,4.4,$31 to $50,40.8080566,-73.9449139,10027,Manhattan,
Del Frisco's Double Eagle Steak House - New York City,"1221 Avenue of the Americas New York, NY  10020",Steakhouse,4.6,$50 and over,40.7594248,-73.9822224,10020,Manhattan,
FIG & OLIVE Fifth Avenue,"10 East 52nd Street New York, NY  10021",Mediterranean,4.5,$31 to $50,40.7592803,-73.9756337,10021,Manhattan,
Rosa Mexicano by Lincoln Center,"61 Columbus Avenue New York, NY  10023",Mexican,4.3,$31 to $50,40.771079,-73.9827734,10023,Manhattan,
ABC Cocina,"38 East 19th Street New York, NY  10003",Tapas / Small Plates,4.6,$30 and under,40.7379803,-73.98927,10003,Manhattan,
Gallaghers Steakhouse - Manhattan,"228 West 52nd Street New York, NY  10019",Steakhouse,4.7,$50 and over,40.7628238,-73.9838753,10019,Manhattan,
Boulud Sud,"20 West 64th Street New York, NY  10023",Mediterranean,4.6,$50 and over,40.7715807,-73.9811807,10023,Manhattan,
Nougatine at Jean Georges,"1 Central Park West New York, NY  10023",French,4.6,$31 to $50,40.7690255,-73.9816255,10023,Manhattan,
Sarabeth's Central Park South,"40 Central Park South New York, NY  10019",American,4.3,$30 and under,40.7651362,-73.9757026,10019,Manhattan,
