CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50120453,NUBIANI,Manhattan,315,5 AVENUE,10016,Korean,9/13/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,12,A,9/13/2024,40.74699545,-73.98559643,105,4,7400,1017004,1008610075,MN17,
50038896,BOISHAKHI,Queens,2914,36TH AVE,11106,Bangladeshi,5/9/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,21,B,5/9/2024,40.75722464,-73.93115468,401,26,5100,4004140,4003420024,QN68,
50040477,MOMOCHAI,Queens,5716,WOODSIDE AVE,11377,Asian/Asian Fusion,4/23/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,11,A,4/23/2024,40.74580589,-73.9070407,402,26,25100,4028467,4012410083,QN63,
50131512,IL MIGLIO BRICK OVEN PIZZA,Queens,1103,36TH AVE,11106,Pizza,4/11/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,12,A,4/11/2024,40.76105297,-73.93983944,401,26,8500,4003968,4003310002,QN68,
50129180,ACES,Manhattan,197,2 AVENUE,10003,American,1/23/2024,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,23,N,,40.73129542,-73.9857153,103,2,4000,1006871,1004680039,MN22,
50093478,AMAR PERUVIAN KITCHEN,Queens,6854,AUSTIN ST,11375,Peruvian,8/28/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,12,A,8/28/2024,40.72222341,-73.85044412,406,29,71100,4077447,4032340029,QN17,
50033781,RED HOOK LOBSTER POUND,Brooklyn,284,VAN BRUNT STREET,11231,Seafood,7/17/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,7/17/2024,40.67974633,-74.01009861,306,38,5900,3008365,3005290028,BK33,
50129283,HELLO BANGLADESH,Queens,3005,36TH AVE,11106,Bangladeshi,5/9/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,37,C,5/9/2024,40.75689207,-73.93040424,401,22,5300,4007967,4006030001,QN70,
50074331,KUU,Manhattan,1275,1 AVENUE,10065,Japanese,4/2/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,34,C,4/2/2024,40.76566385,-73.95756772,108,5,11800,1044761,1014430030,MN31,
50104071,SHAHI DARBAR,Queens,7224,BROADWAY,11372,Bangladeshi,2/20/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,12,A,2/20/2024,40.74749849,-73.89335644,403,25,26500,4529530,4012830080,QN50,
50035574,BREAD & BUTTER,Manhattan,303,5 AVENUE,10016,American,3/14/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,27,B,3/14/2024,40.7466716,-73.98583469,105,4,7400,1016981,1008610001,MN17,
40425060,APOLLO BAKERY,Queens,13536,39 AVENUE,11354,Bakery Products/Desserts,2/28/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,12,A,2/28/2024,40.75990489,-73.83158503,407,20,87100,4311714,4049760046,QN22,
50111796,ANGELOS PIZZERIA,Brooklyn,1092,FLATBUSH AVENUE,11226,Pizza,1/19/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,12,A,1/19/2024,40.64369733,-73.95784377,314,40,51602,3345678,3051640009,BK42,
50152122,JAM-ROCK CUISINE,Bronx,3670,WHITE PLAINS ROAD,10467,Caribbean,8/20/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,9,A,8/20/2024,40.88084058,-73.86433421,212,12,39000,2057893,2046630007,BX44,
50076883,CHINA NO. 1 CHINESE RESTAURANT,Brooklyn,9602,CHURCH AVENUE,11212,Chinese,4/15/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,9,A,4/15/2024,40.65577004,-73.91531542,317,42,89000,3103595,3047170036,BK96,
50001301,JS PERRY'S DINER,Bronx,2783,3 AVENUE,10455,American,3/21/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,13,A,3/21/2024,40.8148407,-73.91993519,201,8,6500,2000000,2023270007,BX34,
50102329,MELTING POT CUISINE,Brooklyn,685,BROADWAY,11206,Caribbean,8/26/2024,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,8/26/2024,40.70181192,-73.94372688,301,34,49100,3071598,3031190008,BK90,
50084779,SUSHI WEN,Staten Island,856,CASTLETON AVENUE,10310,Japanese,8/21/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,20,Z,8/21/2024,40.63472278,-74.11074651,501,49,10500,5004278,5001550001,SI35,
50045276,SUBWAY,Brooklyn,882,5 AVENUE,11232,Sandwiches,3/14/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,3/14/2024,40.65164019,-74.00353176,307,38,8400,3010437,3007050041,BK32,
50111534,INDAY,Manhattan,60,WEST   22 STREET,10010,Indian,5/29/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,10,A,5/29/2024,40.74164104,-73.99191646,105,3,5800,1015553,1008230075,MN13,
50105198,TONG,Brooklyn,321,STARR STREET,11237,Thai,3/8/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,13,A,3/8/2024,40.70773511,-73.92049716,304,34,44700,3072636,3031900037,BK77,
41327462,AMERICA GOURMET FOOD,Manhattan,831,6 AVENUE,10001,Sandwiches,4/30/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,9,A,4/30/2024,40.74656226,-73.99014746,105,3,9500,1015123,1008040042,MN17,
50111498,CROWN ONE,Queens,3420,LINDEN PL,11354,Chinese,5/23/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,18,B,5/23/2024,40.76627513,-73.83133782,407,20,86900,4112007,4049500018,QN22,
50053515,MARTIN'S FOODZ 2 GO,Bronx,3836,DYRE AVENUE,10466,Caribbean,10/11/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,10,A,10/11/2024,40.88836678,-73.83128003,212,12,48400,2066455,2049500001,BX03,
50056770,ESSEN,Manhattan,519,8 AVENUE,10018,American,8/30/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,34,C,8/30/2024,40.75337768,-73.99260442,104,3,11100,1013576,1007590045,MN13,
41012338,SLAINTE,Manhattan,304,BOWERY,10012,Irish,5/9/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,7,A,5/9/2024,40.72464823,-73.99242723,102,1,5502,1008204,1005217503,MN23,
50019277,LENWICH,Manhattan,459,PARK AVENUE SOUTH,10016,American,5/17/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,11,A,5/17/2024,40.74507647,-73.98278551,105,2,7200,1018347,1008860087,MN20,
40367728,MIMIS RESTAURANT & BAR,Manhattan,984,SECOND AVENUE,10022,Italian,6/20/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,12,A,6/20/2024,40.7562169,-73.96752881,106,4,9800,1039779,1013450001,MN19,
